URL,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
http://kk04320.com/,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
https://jean-iv.web.app/,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
ellenecksteindressage.wordpress.com/,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
wvgenweb.org/logan/lq2000.html,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0
https://www.sindhoipatola.in,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
http://rotarysingaporefoundation.org/wp-content/plugins/ubh/surf3.php?cmd=login_submit&amp;id=677dc3d102f3fb65a202e12d5ef67333677dc3d102f3fb65a202e12d5ef67333&amp;session=677dc3d102f3fb65a202e12d5ef67333677dc3d102f3fb65a202e12d5ef67333,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1
casa-crengutei.com/components/com_newsfeeds/views/categories/tmpl/Auth/,0,0,1,7,0,0,0,0,0,1,1,1,1,1,1,0
debellefeuille.com/payette-jacques-2/,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
insidermonkey.com/blog/tag/cara-goldenberg-permian-investment-partners/,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,0
www.w3.org/Voice/Guide/,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
members.tripod.com/protected_mode/prashant/protmode.html,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1
https://www.bloodaxebooks.com,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
facebook.com/pages/Douglas-Mallette/126597571796,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,0
http://www.contabilidadebrasil.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jspiro.tripod.com/linux/hal91.htm,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0
https://www.macquarie.com.au,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0
tigerboard.com/boards/missouri-tigers.php?message=7809549,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,0
https://review-appeal-status-100823547.web.app/,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
ebay.com/sch/sis.html?_nkw=San+Francisco+Oakland+CA+BART+TransBay+Tube+1969+medal,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,0
https://outlook-8gyuf8.web.app/,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
www.applehollow.com/rambouilletsheep/,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
www.pcpitstop.com/xpready/default.asp,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
manta.com/c/mtw7v8m/mendez-john,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,0
www.kkddjdbjhjhjdhhgdhghghgshggg.cixx6.com/wole.html,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
https://www.certification-cles.fr,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0
bit.ly/RTkbuI,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1
http://www.somnio.com,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
fredrik.hubbe.net/plugger.html,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
glakemoss.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
generalhospital.about.com/od/toptenvillains/a/MikkosCassadine.htm,0,0,1,5,0,0,1,0,0,1,1,1,1,1,1,0
http://nguyentandung.org/bai-do-xe-ngam-trong-cong-vien-thong-nhat-thu-hoi-von-cach-nao.html,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0
bancaribe.siscoteldocs.com/,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
crocdundeemuzik.blogspot.com/,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0
taesx.com/img/?us.battle.net/logi...,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,0
isthisyour.name/directory/fullnames/ma~eldred.htm,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,0
wrestlingclassics.com/.ubb/ultimatebb.php?ubb=get_topic;f=1;t=116550,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,0
http://vilanovacenter.com/templates/yoo_bigeasy/janetyolo/,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1
amazon.com/Portable-Dorothy-Parker-Penguin-Classics/dp/0143039539,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,0
https://www.h-ponline.com,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0
http://torcache.net/torrent/0F67328576D9221687FA09783CF19FB384B3E75F.torrent?title=[kickass.to]gotham.s01e10.lovecraft.web.dl.x264.aac,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,0
http://worldativelion.my-free.website,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
