URL,Label
www.eco-nomic.com/indexthn.htm,phishing
http://www.mfscomunicacao.com.br,1
www.tourismkabupatenmalang.com/trial/facte/1edf07032ca4fba799d613408f01614d/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5,1.0
www.karbosguide.com/index2.htm,phishing
http://revente-materiel.com/wp-/DHL%20AUTO,1
paypal.fr.cgi.bin.webscr.cmd.home.locale.x.en.fr.5885d80.ulcerasyozonosalud.com.ar/Virefication/e9a6acb8865d7fe947c902cd77a5aac9/new1/1223e8687199c40a4db72ecac1d6e354/cc5909821b68267bc95f6a6bd9a27868/,1.0
http://43.153.207.103/servicelogin?passive=1209600&amp;continue=https://accounts.google.com/?&amp;xrealip=107.178.231.253&amp;followup=https://accounts.google.com/?,1
http://www.dadgostar.ml,1
https://hyt-090.web.app/,1
paypal.com.cgi.bin.bb570c8713a0a5e9a5c1ed51ffa731e0.tardas.com.tr/webapps/paypal/,1.0
gtechproauto.us,phishing
adseriwf.beget.tech,phishing
clinicfordiet.com,phishing
http://ingresoprovincia.eb2a.com/,1
https://rebrand.ly/y652bm0,phishing
www.free-conversant.com/mindspill/156,phishing
vrici.digitalkingdom.org/~rlpowell/software/coolmud,phishing
soundtherapygoddess.com/images/paypal/uk/webscr.php?cmd=_login-submiteffd743842c38c734b29cbdbebdb5c8aeffd743842c38c734b29cbdbebdb5c8a,1.0
http://ukbusinessdaily.com/wp-admin/includes/access/wells,1
https://s3.amazonaws.com/appforest_uf/f1679331266160x739083236547821400/walex.html,1
http://mngrzgfntp.duckdns.org,1
www.grinninglizard.com/kyra/,phishing
https://nennaida.dgitaly.online/wp-includes/assets/,1
'www.battlenr.tk/cert/login.asp?ref=https\%3A\%2F\%2Fus.battle.net\%2Faccount\%2Fmanagement\%2Findex.xml&amp;amp;app=bam',1.0
churchvillepreschool.com/images/,1.0
https://ekyfast.firebaseapp.com/,1
laxerboyd1.my3gb.com/,1.0
dixpected.net/wp-content/themes/Webly/ingbelLogin.htm,1.0
www.fossil-scm.org/schimpf-book/home,phishing
http://touchbase.tools/https/34.237.113.1131243/sucursalpersonas.transaccionesbancolombia.com/mua/index.html,phishing
us.battle.net-eu-wow.d3-account.net/battle_net_account1.php,1.0
mmobitech.com,phishing
http://www.zelmau.cf,1
nimesjeans.web.id,phishing
http://www.saicosinsard.co.jp.weixinc.top/jp.php?u=2,1
www.littleigloo.org/software_002.php3,phishing
www.linuxtoday.com/news_story.php3?ltsn=1999-03-17-003-10-NW-LF,phishing
adolphcoors.org,phishing
finance.groups.yahoo.com/group/smallcapstocksandresearch/,phishing
http://ing-mein.nervous-edison.170-187-224-61.plesk.page/main/login1/delogin/107.178.232.188/login/,1
'paypal.com.us.login.run.clinets.cgi-bin.webscr.upd13583585d80a13c0ddjvxhu85d80a13c0db1f9of81463215868fid.clientaera.esteticaemcuritiba.com.br/account/confirmed\%3Fa6=ided6aee8d4',1.0
https://steamcommrnunity.ru/,1
http://makesscentscleaning.net/history/kuyi/index.php,1
www.justsoftwaresolutions.co.uk/articles/intrototemplates.pdf,phishing
https://84.203.152.12/user/update.paypal/www.paypal.com/default.aspxrru=inbox&amp;wa=/update/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e56c4a832153dab39d6763fe2b7a2114c06c4a832153dab39d6763fe2b7a2114c0,phishing
https://hphotel-my.sharepoint.com/:b:/g/personal/wmiranda_hp-hotels_com/EcU-QJdKNwpFgSFo3OcmWeEBxVl_yorGYoWtndRBvSSmvw?e=jKgPpk,1
https://sms-vocale-profixe.firebaseapp.com/,1
ribbonrail.com/art/,phishing
https://up2sites.web.app/,1
www.pixelmetrics.com/index.htm,phishing
http://www.carings.net,1
https://2958d42b-bd77-49fe-b2cd-aaa233904b7c.id.repl.co/,1
www.life-career.com/consulting.html,phishing
www.batchimage.com/product/index.html,phishing
https://mattiazambetti.com/ionoscom/,1
www.webf.info/~tkiganad/probando/visa.php,1.0
www.lcdf.org/gifsicle/,phishing
www996.paypal.co.uk.30379.ssl-650.mx/js/webapps/uk/mpp/?cmnd=_lg&nav=_D2E2447DF943005127A4,1.0
http://www.saicecn-co-jp.aasonse.shenem.top/jp.php,1
loticks.addr.com/PLO5XIde/webscr_prim.php?bG90aWNrcy5hZGRyLmNvbQ==uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM1MjM4NDYzMA==,1.0
gratishabborare.yolasite.com/,1.0
http://www.pan.bjzm365.com,1
keysclipper.net,phishing
www.caravan.net/ec2plus/,phishing
https://s.id/pushaktualisieren,1
http://www.goriaya.com,1
http://ww17.paypal.com-us.cgi-bin-webscr-cmd.login-submit-dispatch.74fghghs68g484iky4mn86we8r46d4h38df4b83m48hg3ui4ty82s83f4xcb83.themariettabilliardclub.com/us/webser/us/hdfgs7df6sdf87ds98f787498475h84g8764859675gh84976h85496/webscr/?cmd=_login-submit,phishing
http://pastehtml.com/view/bemzw15vc.html,phishing
https://beta.ewing.com.ar/tmcb.nrn/pnci.php,1
https://www.choicesoftheheart.com,1
eee.oomsn.asia/login/en/index.htm,1.0
www.wired.com/wired/archive/9.10/google.html,phishing
www.waldentesting.com/backup/index.html,phishing
http://www.travelxindia.com,1
http://cz91041.tw1.ru/kripostale/dsp2,1
www.silurian.com/win32/chart.htm,phishing
sipsongroup.com/images/sampledata/Vbv030113/OpretdinkodetilVerifiedbyVisaellerMasterCardSecureCode.html,1.0
easyweb.easynet.co.uk/~trevor/AccFAQ/,phishing
www.elfqrin.com/hacklab/pages/nntpserv.php,phishing
https://aol-108282.weeblysite.com/,1
https://bt-102149.square.site/,1
https://de-29300.firebaseapp.com/,1
cac.mcgill.ca/safdie/,phishing
http://commawebdesign.com/newcomma/assets/fonts/oscinetrial/onech/,1
http://www.raknten-caob.g0vy03a8qvswd964.shop/,1
paragonmeetings.com,phishing
www.linuxdevcenter.com/pub/a/linux/2003/09/11/bunniehuang_interview.html,phishing
https://rls77522.wixsite.com/my-site,1
https://cf-ipfs.com/ipfs/qmudan9us7wpsrf2nfsh53ol7wkaepqrrfzawynk9bw9f4,1
rotr.co/www.paypal.com/cgi-bin/us/125335c73257e9038f5a66fdcc726afb/webscr.php?https:/www.paypal.com/au/cgi-bin/webscr,1.0
www.cnjiongye.com/js/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&dmttqjmamp;ssl=0&dest,1.0
http://www.drmetalpublishing.com,1
groups.yahoo.com/group/dp2discuss/,phishing
http://safe-browsing-app.com/subscription/style1,1
http://www.adspioneer.com,1
http://www.happyschool76.duckdns.org,1
http://www.solo-etig.beeppool.org,1
